"Samplin                                                                                                                                                                                Fecal         Total                      Bicarbonate                                   Total                                                                                                    Total Dissolved"
"Dissolved O2           Conductivity     BOD     NitrateN                                 Carbonate                 Turbidity   Phenolphthalein                  Chlorides COD    Ammonical-N   Total Hardness   Ca as CaCo3   Mg as CaCo3   Sulphate Sodium                     Phosphate              Potassium"
"g                 Name Of Monitoring Location                                    Use Based Class                                     pH                                            Coliform      Coliform                     (HCO3-)                                    Alkalinity                                                                                                      Solids                 Boron (mg/L)           Fluoride (mg/L)"
"(mg/L)            (&micro;mho/cm)   (mg/L)    (mg/L)                                (CO3-) (mg/L)                (mg/L)     Alkalinity (mg/L)                 (mg/L) (mg/L)     (mg/L)          (mg/L)          (mg/L)       (mg/L)       (mg/L) (mg/L)                       (mg/L)                 (mg/L)"
"Month                                                                                                                                                                              (MPN/100ml)   (MPN/100ml)                     (mg/L)                                     (mg/L)                                                                                                        (mg/L)"
"Jul     Munekolalu Lake ,Marathahalli, East Taluka ,BengaluruE (Irrigation, industrial cooling and controlled waste)       3.1         7          598          23          2          7000        160000         3(BDL)          176        35.4          5(BDL)             176         112     156        2.9            156             76             80       5(BDL)     79           412              2       0.5(BDL)      17        0.2(BDL)"
"Jul     CHINNAPPANAHALLI LAKE                                D (Propagation of wild life,fisheries)                        4.4         7          700           5          3          3100         54000         3(BDL)          144        10.5          5(BDL)             144         128      44        0.9            148             72             76       5(BDL)    100           490             0.3      0.5(BDL)      15            0.3"
"Jul     BASAVANAPURA LAKE                                    D (Propagation of wild life,fisheries)                        5.4        7.3        1048           6          4          6300         54000         3(BDL)          176        20.1          5(BDL)             176         176      76        0.4            184            100             84         43      140           704         0.2(BDL)     0.5(BDL)      30           0.33"
"Jul     KOTHANURU LAKE                                       E (Irrigation, industrial cooling and controlled waste)       3.2        7.4        1045          16          4          8400         92000         3(BDL)          176        10.8          5(BDL)             176         176     124       0.96            184            100             84         50      144           700         0.2(BDL)     0.5(BDL)      30           0.35"
"Jul     GOTTIGERE LAKE                                       D (Propagation of wild life,fisheries)                        6.1        7.2         586           4          2         79000       1600000         3(BDL)          132         8.1          5(BDL)             132          72      44        0.4            100             56             44         NA       76           400         0.2(BDL)     0.5(BDL)      16        0.2(BDL)"
"Jul     KARIHOBANAHALLI LAKE                                 E (Irrigation, industrial cooling and controlled waste)       1.1        6.9        1474          24         3.2       170000       2400000         3(BDL)          432        10.4          5(BDL)             432         356     156        8.2            436            224            212         38      101          1002             3.1      0.5(BDL)      21           0.39"
"Jul     Ulsoor Lake Near Kalyani,Bengaluru                   D (Propagation of wild life,fisheries)                        4.5         8          498           4          1          2700         24000         3(BDL)          120         25           5(BDL)             120          64      40       0.62            160             88             72       5(BDL)    104           338         0.2(BDL)     0.5(BDL)      14        0.2(BDL)"
"Jul     NELAMANGALA LAKE                                     E (Irrigation, industrial cooling and controlled waste)       3.2        6.5        1789          14          6         49000        240000         3(BDL)          424        21.4          5(BDL)             424         296     100         1             544            272            272         18      163          1196             1.5      0.5(BDL)      21            0.4"
"Jul     PUTTENAHALLI LAKE                                    D (Propagation of wild life,fisheries)                        4.5        7.3        1044           7          4         12000         92000         3(BDL)          184        12.1          5(BDL)             184         172      80       0.48            172             92             80         21      150           698         0.2(BDL)     0.5(BDL)      30           0.36"
"Jul     Byrasandra Upper Lake,Bengaluru                      D (Propagation of wild life,fisheries)                        4.3         8          843           4          3          7900        160000         3(BDL)          232          2           5(BDL)             232         104      40        0.4            352            180            172       5(BDL)    167           590         0.2(BDL)     0.5(BDL)      16        0.2(BDL)"
"Jul     RAMPURA LAKE                                         E (Irrigation, industrial cooling and controlled waste)        3         6.9        1418          12          6          4900         54000         3(BDL)          344         11           5(BDL)             344         216     112        1.2            516            264            252         14       69           964              2       0.5(BDL)      32            0.3"
"Jul     KALENA AGRAHARA LAKE                                 D (Propagation of wild life,fisheries)                         5          7          550           5          2          2200         24000         3(BDL)           44         5.8          5(BDL)              44          92      48        0.5            184             96             88       5(BDL)     73           378         0.2(BDL)     0.5(BDL)      17        0.2(BDL)"
"Jul     ARAKERE LAKE                                         D (Propagation of wild life,fisheries)                        4.1         7          984          11          4         48000        350000         3(BDL)           68        18.8          5(BDL)              68         132     104        0.9            272            140            132       5(BDL)     91           688              2       0.5(BDL)      23            0.3"
"Jul     HOSAKEREHALLI LAKE                                   D (Propagation of wild life,fisheries)                        4.9        6.7         683           4        2.62         4900         92000         3(BDL)          152         6.6            NA               152         112      45       0.66            184             96             88         28       66           476            0.25      0.5(BDL)      14        0.2(BDL)"
"Jul     SOMPURA LAKE                                         D (Propagation of wild life,fisheries)                        4.7        7.9        1222          4.7       4.69          460         16000         3(BDL)          280         5.6          5(BDL)             280         208      44       0.72            332            172            160         50      108           858         0.2(BDL)     0.5(BDL)      24           0.38"
"Jul     UTTARAHALLI DORAIKERE                                E (Irrigation, industrial cooling and controlled waste)       3.4        8.1         262          17         0.8         4900         54000         3(BDL)           76        26.2          5(BDL)              76          36     170        1.8             68             40             28       5(BDL)     27           182         0.2(BDL)     0.5(BDL)       3        0.2(BDL)"
"Jul     MALATHAHALLI LAKE                                    D (Propagation of wild life,fisheries)                         5         7.9        1166           6         3.4          430         16000           NA            328         4.4          5(BDL)             328         180      62       0.54            316            164            152         18      113           794            0.49      0.5(BDL)      15           0.43"
"Jul     ULLALU LAKE                                          E (Irrigation, industrial cooling and controlled waste)       3.2        7.1         602          17         1.7        22000        240000         3(BDL)          172        28.1          5(BDL)             172          92     173        2.9            160             88             72          9       59           424             0.3      0.5(BDL)       8           0.22"
"Jul     KODI SINGASANDRA LAKE                                D (Propagation of wild life,fisheries)                        4.2         7          549           8          2         34000        240000         3(BDL)           48        12.9          5(BDL)              48         128      84        0.9            160             84             76       5(BDL)     71           378         0.2(BDL)     0.5(BDL)      15        0.2(BDL)"
"Jul     KAMMAGONDANAHALLI LAKE                               E (Irrigation, industrial cooling and controlled waste)       3.2        6.6         632          12         10          3300         54000         3(BDL)          148        18.2          5(BDL)             148          56     108        1.2            140             76             64         11       36           428              4       0.5(BDL)      14        0.2(BDL)"
"Jul     HOSKERE LAKE                                         E (Irrigation, industrial cooling and controlled waste)       3.4         7          846          13         2.4         4600         92000         3(BDL)          240        10.8          5(BDL)             240         132     125        1.9            228            120            108         13       83           578            0.35      0.5(BDL)      11           0.31"
"Jul     SINGASANDRA LAKE                                     D (Propagation of wild life,fisheries)                        4.4         7          981           7          4         46000        540000         3(BDL)           88        17.6          5(BDL)              88         124      76        0.9            244            128            116       5(BDL)     92           686         0.2(BDL)     0.5(BDL)      22            0.3"
"Jul     IBBALUR LAKE                                         E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)       7         1056          45          4         31000        350000         3(BDL)           68        10.2          5(BDL)              68         188     236       15.2            184             96             88          7      118        10(BDL)        0.2(BDL)     0.5(BDL)      27            0.3"
"Basavanapura Lake Ayyappa Nagr Main Road ,"
"Jul                                                          D (Propagation of wild life,fisheries)                        5.5        7.3        373            6        1.5         7900         92000          3(BDL)          116        15.2          5(BDL)             116         48      50        0.98            100             56            44          10      54           250              1        0.5(BDL)      17          0.36"
"K. R. Puram , Bengaluru"
"Jul     BELLANDUR LAKE                                       E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)       7         1382          202         5       2600000       35000000        3(BDL)          132        15.2          5(BDL)             132         176     788         28            328            168            160          6      106           966         0.2(BDL)     0.5(BDL)      30            0.3"
"Jul     Kannur Lake Near By Hennur Road Bengalore            D (Propagation of wild life,fisheries)                        4.8        7.3         740            7        3.2         4800          54000        3(BDL)          200         6.5          5(BDL)             200         116      64        0.95           296            152            144          8       96           508              1       0.5(BDL)      21            0.4"
"Jul     YELEMALLAPPA SHETTY LAKE                             E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)      6.7        1220           34        5.5        47000         540000        3(BDL)          464        25.6          5(BDL)             464         168     224          4            300            156            144         20      164           832             3.8      0.5(BDL)      28           0.48"
"Jul     VIBHUTHIPURA LAKE                                    E (Irrigation, industrial cooling and controlled waste)       3.1        6.9         743           12       2.85         2600          54000        3(BDL)          168         19           5(BDL)             168         120     110          2            200            104             96         30       69           520            0.29      0.5(BDL)      15           0.38"
"Jul     BHATTARAHALLI LAKE                                   D (Propagation of wild life,fisheries)                        4.2        8.2         580            9        2.6         8400         160000        3(BDL)          108        15.4          5(BDL)             108         144      84        0.96            96             52             44         15       88           396             0.9      0.5(BDL)      17           0.24"
"Jul     DODDABIDARAKALLU LAKE                                E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)      6.7        1480           83       5.69       170000        2400000        3(BDL)          340        16.8          5(BDL)             340         252     320        14.2           404            208            196         60      125          1042            0.83      0.5(BDL)      30           0.41"
"Jul     ANCHEPALYA LAKE                                      D (Propagation of wild life,fisheries)                        4.5        6.5         497            4       1.91         3300          54000        3(BDL)          108        28.4          5(BDL)             108          80      40        0.88           132             72             60         20       47           346            0.25      0.5(BDL)      10        0.2(BDL)"
"Jul     VARTHUR LAKE                                         E (Irrigation, industrial cooling and controlled waste)    0.3(BDL)      7.3        1380           73        5.3      1700000       24000000        3(BDL)          316        11.2          5(BDL)             316         232     328        17.8           352            180            172         56      120           972            0.87      0.5(BDL)      28           0.42"
"Jul     KAIKONDANAHALLI LAKE                                 D (Propagation of wild life,fisheries)                        6.7        7.5         364            4       1.39         4800          54000        3(BDL)           76         4.3          5(BDL)              76          56      40         0.4            96             52             44         15       29           252         0.2(BDL)     0.5(BDL)       7        0.2(BDL)"
"Jul     SHEELAVANTA-WHITEFIELD LAKE                          E (Irrigation, industrial cooling and controlled waste)        3          7          978           13       3.76         4000          92000        3(BDL)          224        22.3          5(BDL)             224         164     116         2.2           264            136            128         39       88           682            0.45      0.5(BDL)      20           0.29"
"Jul     Soulkere, Kaikondrahalli Vill,Bengaluru              D (Propagation of wild life,fisheries)                        5.6        7.3         647            4       2.48         2200          35000        3(BDL)          144        28.2          5(BDL)             144         108      44        0.41           176             92             84         26       62           454         0.2(BDL)     0.5(BDL)      13           0.28"
"Jul     ALUR LAKE                                            D (Propagation of wild life,fisheries)                        6.1        6.8         213            4         1          3100         160000        3(BDL)           36         4.1          5(BDL)              36          28      40         0.4            48             28             20          8       16           148         0.2(BDL)     0.5(BDL)       4        0.2(BDL)"
"Jul     DODDAKANNEHALLI LAKE                                 D (Propagation of wild life,fisheries)                        4.1        6.6         368           11        1.1         4600          92000        3(BDL)          104        14.4          5(BDL)             104          56     111        0.95            96             56             40          6       38           254         0.2(BDL)     0.5(BDL)       5           0.21"
"Jul     HESARAGHATTA LAKE                                    D (Propagation of wild life,fisheries)                        5.2        6.9         340            4       1.33          470          16000        3(BDL)           76         2.8          5(BDL)              76          56      43        0.44            92             52             40         14       38           238         0.2(BDL)     0.5(BDL)       7        0.2(BDL)"
"Jul     DEVARABEESANAHALLI LAKE                              D (Propagation of wild life,fisheries)                        4.3        7.4         645           11        1.9          470          16000        3(BDL)          184         10           5(BDL)             184         100     107        0.93           172             92             80         10       81           440            0.23      0.5(BDL)      15           0.35"
"Jul     CHIKKABANAVARA LAKE                                  E (Irrigation, industrial cooling and controlled waste)       2.7         7         1700           13       6.68         4100          92000        3(BDL)          392        13.6          5(BDL)             392         288     121         3.2           464            236            228         69      140          1192            1.24      0.5(BDL)      34           0.33"
"Jul     KASAVANAHALLI LAKE                                   D (Propagation of wild life,fisheries)                        6.5        6.6         373            4       1.43        23000         240000        3(BDL)           80        10.4          5(BDL)              80          64      40        0.56           100             56             44         15       32           262         0.2(BDL)     0.5(BDL)       7           0.22"
"Jul     HARALUR LAKE                                         D (Propagation of wild life,fisheries)                        5.4        7.3         646            4       2.44          490           9200        3(BDL)          140        27.1          5(BDL)             140         104      45        0.58           176             96             80         27       61           452         0.2(BDL)     0.5(BDL)      13           0.31"
"Jul     Kudlu Doddakere, Kudlu Vill,Bengaluru                D (Propagation of wild life,fisheries)                        5.5        7.4         647            4       2.48         4300         160000        3(BDL)          148        26.9          5(BDL)             148         108      45        0.57           180             96             84         28       62           456         0.2(BDL)     0.5(BDL)      13           0.33"
